Manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes,magnification ratio,entrance pupil
,,85mm,1.4,"3' 8""",46.3mm,114mm,,1200g,128mm,PL / LPL,11,,,
,vintage macro,100mm,2.9,,46.3mm,95mm,,,120mm,PL / LPL,,1:1 macro,,
,,135mm,2.0,"2' 8""",46.3mm,114mm,,1400g,128mm,PL / LPL,11,,,
,,,,,,,,,,,,,,
,Vintage Supreme Prime,25mm,1.5,"10""",46.2mm,,,,,PL / LPL,,,,
,(recoated Zeiss Supreme),29mm,1.5,"13""",46.2mm,,,,,PL / LPL,,,,
,,35mm,1.5,"13""",46.2mm,,,,,PL / LPL,,,,
,,50mm,1.5,"18""",46.2mm,,,,,PL / LPL,,,,
,,85mm,1.5,"2' 9""",46.2mm,,,,,PL / LPL,,,,
,,100mm,1.5,"3' 9""",46.2mm,,,,,PL / LPL,,,,
,,,,,,,,,,PL / LPL,,,,
IB/E,Raptor,28mm,2.4,,50mm,,,,,,,,,
,,40mm,2.4,"18""",50mm,95mm,,1250g,112mm,UMS PL,14,,,
,,50mm,2.4,,50mm,,,,,,,,,
,,80mm,2.4,"2' 2""",50mm,95mm,,1050g,112mm,UMS PL,14,,,
,,110mm,2.4,,50mm,,,,,,,,,
,,135mm,2.4,,50mm,,,,,,,,,
,,,,,,,,,,,,,,
,Raptor (macro),60mm,2.9,"7.5""",46.6mm,95mm,,1150g,106mm,IMS PL (EF / F / E),9,1:1 macro,,
,,100mm,2.9,"12""",46.6mm,95mm,,1500g,145mm,IMS PL (EF / F / E),9,1:1 macro,,
,,150mm,2.9,"15""",46.6mm,95mm,,1900g,145mm,IMS PL (EF / F / E),9,1:1 macro,,
,,180mm,2.9,"18.5""",46.6mm,95mm,,2900g,200mm,IMS PL (EF / F / E),9,1:1 macro,,
,,,,,,,,,,,,,,
Irix,Cine,11mm,4.3,"10.6""",43.3mm,95mm,n/a,1130g,104mm,PL / EF / E / MFT,9,,,
,,15mm,2.6,"10""",43.3mm,95mm,86mm,915g,88mm,PL / EF / E / MFT,9,,,
,,21mm,1.5,"12""",43.3mm,95mm,n/a,1105g,93mm,PL / EF / E / MFT,11,,,
